Host,Parasite,Weight
ENSG00000118197,PBANKA_142480,5
ENSG00000163156,PBANKA_142480,5
ENSG00000067836,PBANKA_142480,5
ENSG00000158552,PBANKA_142480,5
ENSG00000173264,PBANKA_142570,5
ENSG00000132361,PBANKA_142580,5
ENSG00000166685,PBANKA_142580,5
ENSG00000123064,PBANKA_142580,5
ENSG00000108344,PBANKA_142630,5
ENSG00000089693,PBANKA_142630,5
ENSG00000105401,PBANKA_142630,5
ENSG00000104805,PBANKA_142630,5
ENSG00000213928,PBANKA_142630,5
ENSG00000127948,PBANKA_142630,5
ENSG00000152766,PBANKA_142630,5
ENSG00000110719,PBANKA_142630,5
ENSG00000163956,PBANKA_142630,5
ENSG00000173264,PBANKA_142640,5
ENSG00000187566,PBANKA_142740,5
ENSG00000105229,PBANKA_142740,5
ENSG00000213977,PBANKA_142780,5
ENSG00000168612,PBANKA_142780,5
ENSG00000033100,PBANKA_142810,5
ENSG00000166527,PBANKA_142890,5
ENSG00000123689,PBANKA_142890,5
ENSG00000170791,PBANKA_142960,5
ENSG00000163956,PBANKA_142960,5
ENSG00000163956,PBANKA_143040,5
ENSG00000140990,PBANKA_143070,5
ENSG00000100226,PBANKA_143210,5
ENSG00000168010,PBANKA_143210,5
ENSG00000127948,PBANKA_143210,5
ENSG00000083750,PBANKA_143210,5
ENSG00000106348,PBANKA_143210,5
ENSG00000145569,PBANKA_143220,5
ENSG00000137207,PBANKA_143250,5
ENSG00000139180,PBANKA_143250,5
ENSG00000130159,PBANKA_143280,5
ENSG00000141698,PBANKA_143280,5
ENSG00000100226,PBANKA_143310,5
ENSG00000133275,PBANKA_143310,5
ENSG00000198909,PBANKA_143310,5
ENSG00000204427,PBANKA_143310,5
ENSG00000105401,PBANKA_143310,5
ENSG00000167716,PBANKA_143310,5
ENSG00000104142,PBANKA_143310,5
ENSG00000213928,PBANKA_143310,5
ENSG00000100106,PBANKA_143310,5
ENSG00000165006,PBANKA_143310,5
ENSG00000109270,PBANKA_143310,5
ENSG00000180353,PBANKA_143310,5
ENSG00000110719,PBANKA_143310,5
ENSG00000106348,PBANKA_143310,5
ENSG00000153187,PBANKA_143310,5
ENSG00000113240,PBANKA_143310,5
ENSG00000197136,PBANKA_143350,5
ENSG00000159063,PBANKA_143390,5
ENSG00000181038,PBANKA_143390,5
ENSG00000122034,PBANKA_143390,5
ENSG00000103121,PBANKA_143390,5
ENSG00000130159,PBANKA_143390,5
ENSG00000169814,PBANKA_143390,5
ENSG00000130733,PBANKA_143390,5
ENSG00000123992,PBANKA_143390,5
ENSG00000149091,PBANKA_143420,5
ENSG00000067836,PBANKA_143470,5
ENSG00000100991,PBANKA_143510,5
ENSG00000197746,PBANKA_143510,5
ENSG00000179071,PBANKA_143560,5
ENSG00000249715,PBANKA_143560,5
ENSG00000132361,PBANKA_143570,5
ENSG00000143552,PBANKA_143790,5
ENSG00000164587,PBANKA_143830,5
ENSG00000170035,PBANKA_143830,5
ENSG00000158850,PBANKA_143830,5
ENSG00000123064,PBANKA_143850,5
ENSG00000140990,PBANKA_143860,5
ENSG00000153048,PBANKA_143920,5
ENSG00000181038,PBANKA_143960,5
ENSG00000122034,PBANKA_143960,5
ENSG00000129197,PBANKA_143960,5
ENSG00000103121,PBANKA_143960,5
ENSG00000111237,PBANKA_143960,5
ENSG00000174173,PBANKA_143960,5
ENSG00000155368,PBANKA_143960,5
ENSG00000198034,PBANKA_143960,5
ENSG00000104047,PBANKA_143960,5
ENSG00000148308,PBANKA_143960,5
ENSG00000117395,PBANKA_143960,5
ENSG00000169814,PBANKA_143960,5
ENSG00000130733,PBANKA_143960,5
ENSG00000224877,PBANKA_143960,5
ENSG00000138663,PBANKA_143960,5
ENSG00000084090,PBANKA_143960,5
ENSG00000129480,PBANKA_143960,5
ENSG00000230124,PBANKA_143960,5
ENSG00000123992,PBANKA_143960,5
ENSG00000148688,PBANKA_143960,5
ENSG00000085377,PBANKA_143970,5
ENSG00000133597,PBANKA_143970,5
ENSG00000145569,PBANKA_143980,5
ENSG00000134330,PBANKA_144010,5
ENSG00000183134,PBANKA_144050,5
ENSG00000249715,PBANKA_144050,5
ENSG00000100605,PBANKA_144050,5
ENSG00000185105,PBANKA_144100,5
ENSG00000185105,PBANKA_144110,5
ENSG00000181038,PBANKA_144240,5
ENSG00000155368,PBANKA_144240,5
ENSG00000143198,PBANKA_144240,5
ENSG00000148688,PBANKA_144240,5
ENSG00000182718,PBANKA_144250,5
ENSG00000130159,PBANKA_144250,5
ENSG00000143222,PBANKA_144250,5
ENSG00000100100,PBANKA_144360,5
ENSG00000105204,PBANKA_144450,5
ENSG00000163956,PBANKA_144470,5
ENSG00000105401,PBANKA_144520,5
ENSG00000177885,PBANKA_144520,5
ENSG00000163956,PBANKA_144520,5
ENSG00000132622,PBANKA_144560,5
ENSG00000169814,PBANKA_144560,5
ENSG00000161057,PBANKA_144560,5
ENSG00000011260,PBANKA_144560,5
ENSG00000143552,PBANKA_144600,5
ENSG00000132361,PBANKA_144670,5
ENSG00000125531,PBANKA_144670,5
ENSG00000132361,PBANKA_144700,5
ENSG00000123064,PBANKA_144700,5
ENSG00000069998,PBANKA_144710,5
ENSG00000169718,PBANKA_144710,5
ENSG00000089693,PBANKA_144710,5
ENSG00000157873,PBANKA_144710,5
ENSG00000105401,PBANKA_144710,5
ENSG00000101150,PBANKA_144710,5
